date,category,title,amount
2023-06-06,supermercado,pimenta do reino e coentro em grão ,10.00
2023-06-06,saúde,Quimilab,20.00
2023-06-06,transporte,Abastec*Abastece Ai,29.00
2023-06-04,outros,Bella Bijoux,90.00
2023-06-03,supermercado,Rekanto do G,23.00
2023-05-31,restaurante,Padaria Albuquerque,9.25
2023-05-31,outros,Mp *Cantinaquadra,5.00
2023-05-30,restaurante,Pag*Maiarainesde,6.00
2023-05-27,eletrônicos,conserto tela e bateria do Tablet,138.00
2023-05-26,eletrônicos,Cbahia *38040608012,181.69
2023-05-26,outros,Mp *Cantinaquadra,4.00
2023-05-26,eletrônicos,Pag*Sehercelltres,35.00
2023-05-26,casa,Pag*Sergioaparesidode,33.00
2023-05-25,outros,Cogumelo,251.00
2023-05-22,payment,Pagamento recebido,-2199.81
2023-05-20,restaurante,Jadi Soba,107.00
2023-05-20,charge,Valdir Alberto Ledesma,26.57
2023-05-20,charge,RESIDENCIAL ALBUQUERQUE II,281.44
2023-05-19,restaurante,Pelegrini Sobremesas,18.00
2023-05-19,restaurante,Burger King,26.90
2023-05-18,transporte,Abastec*Abastece Ai,218.73
2023-05-13,vestuário,Pag*Eleelacosmetico 2/2,80.55
2023-05-13,restaurante,Mais Que Salada,29.50
2023-05-13,charge,Parcelamento de Compra "Hostgator" 12/12,51.51
2023-05-13,charge,Parcelamento de Compra "Mobills 6 Anos" 7/8,63.38
